
adjust-android-signature-3.67.0/jni/arm64-v8a/libsigner.so:	file format elf64-littleaarch64

Disassembly of section .text:

0000000000008070 <.text>:
   23730: d10403ff     	sub	sp, sp, #0x100
   238e8: f2f9fac8     	movk	x8, #0xcfd6, lsl #48
   238ec: f2eb87c9     	movk	x9, #0x5c3e, lsl #48
   238f0: 9a880128     	csel	x8, x9, x8, eq
   238f4: d28a58e9     	mov	x9, #0x52c7             // =21191
   238f8: f2ae9a69     	movk	x9, #0x74d3, lsl #16
   238fc: d29a2c42     	mov	x2, #0xd162             // =53602
   23900: f2d74ca9     	movk	x9, #0xba65, lsl #32
   23904: f2bafd62     	movk	x2, #0xd7eb, lsl #16
   23908: a93d2ba8     	stp	x8, x10, [x29, #-0x30]
   2390c: d2863748     	mov	x8, #0x31ba             // =12730
   23910: f2bfcd08     	movk	x8, #0xfe68, lsl #16
   23914: f2ff9de9     	movk	x9, #0xfcef, lsl #48
   23918: f2cf0dc8     	movk	x8, #0x786e, lsl #32
   2391c: f2ce31a2     	movk	x2, #0x718d, lsl #32
   23920: f2e205a8     	movk	x8, #0x102d, lsl #48
   23924: f2f13882     	movk	x2, #0x89c4, lsl #48
   23928: 9a88b128     	csel	x8, x9, x8, lt
   2392c: d2933169     	mov	x9, #0x998b             // =39307
   23930: fa401a60     	ccmp	x19, #0x0, #0x0, ne
   23934: f2b32609     	movk	x9, #0x9930, lsl #16
   23938: f2c452e9     	movk	x9, #0x2297, lsl #32
   2393c: f90027e8     	str	x8, [sp, #0x48]
   23940: d282d048     	mov	x8, #0x1682             // =5762
   23944: f2a16008     	movk	x8, #0xb00, lsl #16
   23948: f2f4f529     	movk	x9, #0xa7a9, lsl #48
   2394c: f2c94068     	movk	x8, #0x4a03, lsl #32
   23950: f2e86008     	movk	x8, #0x4300, lsl #48
   23954: 9a88113c     	csel	x28, x9, x8, ne
   23958: d2935e28     	mov	x8, #0x9af1             // =39665
   2395c: d29f8d09     	mov	x9, #0xfc68             // =64616
   23960: f2b5c148     	movk	x8, #0xae0a, lsl #16
   23964: f2b41849     	movk	x9, #0xa0c2, lsl #16
   23968: f2dc16e8     	movk	x8, #0xe0b7, lsl #32
   2396c: f2c49529     	movk	x9, #0x24a9, lsl #32
   23970: f100001f     	cmp	x0, #0x0
   23974: f2f016a8     	movk	x8, #0x80b5, lsl #48
   23978: f2e5cd29     	movk	x9, #0x2e69, lsl #48
   2397c: 9a880128     	csel	x8, x9, x8, eq
   23980: f81f03a8     	stur	x8, [x29, #-0x10]
   23984: d2935e3e     	mov	x30, #0x9af1            // =39665
   23988: aa0f03e8     	mov	x8, x15
   2398c: f2b5c15e     	movk	x30, #0xae0a, lsl #16
   23990: aa1c03ef     	mov	x15, x28
   23994: f2dc16fe     	movk	x30, #0xe0b7, lsl #32
   23998: f2f016be     	movk	x30, #0x80b5, lsl #48
   2399c: eb1e011f     	cmp	x8, x30
   239a0: 54ffff20     	b.eq	0x23984 <.text+0x1b914>
   239a4: aa0903fa     	mov	x26, x9
   239a8: d283ff09     	mov	x9, #0x1ff8             // =8184
   239ac: f2a6de49     	movk	x9, #0x36f2, lsl #16
   239b0: aa0e03f9     	mov	x25, x14
   239b4: aa0d03f7     	mov	x23, x13
   239b8: 2a0c03f5     	mov	w21, w12
   239bc: aa0b03f8     	mov	x24, x11
   239c0: aa0a03f6     	mov	x22, x10
   239c4: f2ca5929     	movk	x9, #0x52c9, lsl #32
   239c8: f2f01a69     	movk	x9, #0x80d3, lsl #48
   239cc: eb09011f     	cmp	x8, x9
   239d0: 540034e0     	b.eq	0x2406c <.text+0x1bffc>
   239d4: aa1a03e9     	mov	x9, x26
   239d8: aa1603ea     	mov	x10, x22
   239dc: aa1803eb     	mov	x11, x24
   239e0: 2a1503ec     	mov	w12, w21
   239e4: aa1703ed     	mov	x13, x23
   239e8: aa1903ee     	mov	x14, x25
   239ec: aa0303ef     	mov	x15, x3
   239f0: eb04011f     	cmp	x8, x4
   239f4: 54fffc80     	b.eq	0x23984 <.text+0x1b914>
   239f8: d287e31e     	mov	x30, #0x3f18            // =16152
   239fc: aa1a03e9     	mov	x9, x26
   23a00: f2b78a5e     	movk	x30, #0xbc52, lsl #16
   23a04: aa1603ea     	mov	x10, x22
   23a08: aa1803eb     	mov	x11, x24
   23a0c: 2a1503ec     	mov	w12, w21
   23a10: aa1703ed     	mov	x13, x23
   23a14: aa1903ee     	mov	x14, x25
   23a18: f85f83af     	ldur	x15, [x29, #-0x8]
   23a1c: f2cddf1e     	movk	x30, #0x6ef8, lsl #32
   23a20: f2f0f85e     	movk	x30, #0x87c2, lsl #48
   23a24: eb1e011f     	cmp	x8, x30
   23a28: 54fffae0     	b.eq	0x23984 <.text+0x1b914>
   23a2c: aa1a03e9     	mov	x9, x26
   23a30: aa1603ea     	mov	x10, x22
   23a34: aa1803eb     	mov	x11, x24
   23a38: 2a1503ec     	mov	w12, w21
   23a3c: aa1703ed     	mov	x13, x23
   23a40: aa1903ee     	mov	x14, x25
   23a44: aa0503ef     	mov	x15, x5
   23a48: eb02011f     	cmp	x8, x2
   23a4c: 54fff9c0     	b.eq	0x23984 <.text+0x1b914>
   23a50: d289c05e     	mov	x30, #0x4e02            // =19970
   23a54: aa1a03e9     	mov	x9, x26
   23a58: f2b9f15e     	movk	x30, #0xcf8a, lsl #16
   23a5c: aa1603ea     	mov	x10, x22
   23a60: aa1803eb     	mov	x11, x24
   23a64: 2a1503ec     	mov	w12, w21
   23a68: aa1703ed     	mov	x13, x23
   23a6c: aa1903ee     	mov	x14, x25
   23a70: f85f03af     	ldur	x15, [x29, #-0x10]
   23a74: f2c194be     	movk	x30, #0xca5, lsl #32
   23a78: f2f1aede     	movk	x30, #0x8d76, lsl #48
   23a7c: eb1e011f     	cmp	x8, x30
   23a80: 54fff820     	b.eq	0x23984 <.text+0x1b914>
   23a84: d28d70a9     	mov	x9, #0x6b85             // =27525
   23a88: f2a61009     	movk	x9, #0x3080, lsl #16
   23a8c: f2c8ac89     	movk	x9, #0x4564, lsl #32
   23a90: f2f201e9     	movk	x9, #0x900f, lsl #48
   23a94: eb09011f     	cmp	x8, x9
   23a98: 54003100     	b.eq	0x240b8 <.text+0x1c048>
   23a9c: d2819ce9     	mov	x9, #0xce7              // =3303
   23aa0: f2a798c9     	movk	x9, #0x3cc6, lsl #16
   23aa4: f2c58c09     	movk	x9, #0x2c60, lsl #32
   23aa8: f2f20ca9     	movk	x9, #0x9065, lsl #48
   23aac: eb09011f     	cmp	x8, x9
   23ab0: 540030e0     	b.eq	0x240cc <.text+0x1c05c>
   23ab4: d28ea02f     	mov	x15, #0x7501            // =29953
   23ab8: d29ef1fe     	mov	x30, #0xf78f            // =63375
   23abc: f2afd18f     	movk	x15, #0x7e8c, lsl #16
   23ac0: f2ba153e     	movk	x30, #0xd0a9, lsl #16
   23ac4: f2d7740f     	movk	x15, #0xbba0, lsl #32
   23ac8: aa1a03e9     	mov	x9, x26
   23acc: aa1603ea     	mov	x10, x22
   23ad0: aa1803eb     	mov	x11, x24
   23ad4: 2a1503ec     	mov	w12, w21
   23ad8: aa1703ed     	mov	x13, x23
   23adc: aa1903ee     	mov	x14, x25
   23ae0: f2f9198f     	movk	x15, #0xc8cc, lsl #48
   23ae4: f2df52de     	movk	x30, #0xfa96, lsl #32
   23ae8: f2f3a13e     	movk	x30, #0x9d09, lsl #48
   23aec: eb1e011f     	cmp	x8, x30
   23af0: 54fff4a0     	b.eq	0x23984 <.text+0x1b914>
   23af4: d283ff0f     	mov	x15, #0x1ff8            // =8184
   23af8: aa1a03e9     	mov	x9, x26
   23afc: f2a6de4f     	movk	x15, #0x36f2, lsl #16
   23b00: aa1603ea     	mov	x10, x22
   23b04: f2ca592f     	movk	x15, #0x52c9, lsl #32
   23b08: aa1803eb     	mov	x11, x24
   23b0c: 2a1503ec     	mov	w12, w21
   23b10: aa1303ed     	mov	x13, x19
   23b14: aa1403ee     	mov	x14, x20
   23b18: f2f01a6f     	movk	x15, #0x80d3, lsl #48
   23b1c: eb01011f     	cmp	x8, x1
   23b20: 54fff320     	b.eq	0x23984 <.text+0x1b914>
   23b24: d2933169     	mov	x9, #0x998b             // =39307
   23b28: f2b32609     	movk	x9, #0x9930, lsl #16
   23b2c: f2c452e9     	movk	x9, #0x2297, lsl #32
   23b30: f2f4f529     	movk	x9, #0xa7a9, lsl #48
   23b34: eb09011f     	cmp	x8, x9
   23b38: 54002d20     	b.eq	0x240dc <.text+0x1c06c>
   23b3c: eb06011f     	cmp	x8, x6
   23b40: 54002dc0     	b.eq	0x240f8 <.text+0x1c088>
   23b44: d28f5c49     	mov	x9, #0x7ae2             // =31458
   23b48: f2a70769     	movk	x9, #0x383b, lsl #16
   23b4c: f2d1f609     	movk	x9, #0x8fb0, lsl #32
   23b50: f2f5f7e9     	movk	x9, #0xafbf, lsl #48
   23b54: eb09011f     	cmp	x8, x9
   23b58: 54002da0     	b.eq	0x2410c <.text+0x1c09c>
   23b5c: d29bbf89     	mov	x9, #0xddfc             // =56828
   23b60: f2b61dc9     	movk	x9, #0xb0ee, lsl #16
   23b64: f2ca9729     	movk	x9, #0x54b9, lsl #32
   23b68: f2f62aa9     	movk	x9, #0xb155, lsl #48
   23b6c: eb09011f     	cmp	x8, x9
   23b70: 54002da0     	b.eq	0x24124 <.text+0x1c0b4>
   23b74: d28b60a9     	mov	x9, #0x5b05             // =23301
   23b78: f2b35f29     	movk	x9, #0x9af9, lsl #16
   23b7c: f2c7caa9     	movk	x9, #0x3e55, lsl #32
   23b80: f2f7d909     	movk	x9, #0xbec8, lsl #48
   23b84: eb09011f     	cmp	x8, x9
   23b88: 54002e80     	b.eq	0x24158 <.text+0x1c0e8>
   23b8c: d29697e9     	mov	x9, #0xb4bf             // =46271
   23b90: f2ab44c9     	movk	x9, #0x5a26, lsl #16
   23b94: f2c7f009     	movk	x9, #0x3f80, lsl #32
   23b98: f2f7f069     	movk	x9, #0xbf83, lsl #48
   23b9c: eb09011f     	cmp	x8, x9
   23ba0: 54003060     	b.eq	0x241ac <.text+0x1c13c>
   23ba4: d292a00f     	mov	x15, #0x9500            // =38144
   23ba8: d28ea03e     	mov	x30, #0x7501            // =29953
   23bac: f2b662cf     	movk	x15, #0xb316, lsl #16
   23bb0: f2afd19e     	movk	x30, #0x7e8c, lsl #16
   23bb4: f2d9d5af     	movk	x15, #0xcead, lsl #32
   23bb8: aa1a03e9     	mov	x9, x26
   23bbc: aa1603ea     	mov	x10, x22
   23bc0: aa1803eb     	mov	x11, x24
   23bc4: 2a1003ec     	mov	w12, w16
   23bc8: aa1703ed     	mov	x13, x23
   23bcc: aa1903ee     	mov	x14, x25
   23bd0: f2fe2c6f     	movk	x15, #0xf163, lsl #48
   23bd4: f2d7741e     	movk	x30, #0xbba0, lsl #32
   23bd8: f2f9199e     	movk	x30, #0xc8cc, lsl #48
   23bdc: eb1e011f     	cmp	x8, x30
   23be0: 54ffed20     	b.eq	0x23984 <.text+0x1b914>
   23be4: d29697ef     	mov	x15, #0xb4bf            // =46271
   23be8: d283da3e     	mov	x30, #0x1ed1            // =7889
   23bec: f2ab44cf     	movk	x15, #0x5a26, lsl #16
   23bf0: f2b3c7be     	movk	x30, #0x9e3d, lsl #16
   23bf4: f2c7f00f     	movk	x15, #0x3f80, lsl #32
   23bf8: aa1a03e9     	mov	x9, x26
   23bfc: aa1603ea     	mov	x10, x22
   23c00: aa1803eb     	mov	x11, x24
   23c04: 2a1503ec     	mov	w12, w21
   23c08: aa1703ed     	mov	x13, x23
   23c0c: aa1903ee     	mov	x14, x25
   23c10: f2f7f06f     	movk	x15, #0xbf83, lsl #48
   23c14: f2d9167e     	movk	x30, #0xc8b3, lsl #32
   23c18: f2f93f9e     	movk	x30, #0xc9fc, lsl #48
   23c1c: eb1e011f     	cmp	x8, x30
   23c20: 54ffeb20     	b.eq	0x23984 <.text+0x1b914>
   23c24: d29ead09     	mov	x9, #0xf568             // =62824
   23c28: f2b20c29     	movk	x9, #0x9061, lsl #16
   23c2c: f2c887e9     	movk	x9, #0x443f, lsl #32
   23c30: f2f9fac9     	movk	x9, #0xcfd6, lsl #48
   23c34: eb09011f     	cmp	x8, x9
   23c38: 54002000     	b.eq	0x24038 <.text+0x1bfc8>
   23c3c: d28a26be     	mov	x30, #0x5135            // =20789
   23c40: aa1a03e9     	mov	x9, x26
   23c44: f2ae1d7e     	movk	x30, #0x70eb, lsl #16
   23c48: aa1603ea     	mov	x10, x22
   23c4c: aa1803eb     	mov	x11, x24
   23c50: 2a1503ec     	mov	w12, w21
   23c54: aa1703ed     	mov	x13, x23
   23c58: aa1903ee     	mov	x14, x25
   23c5c: f85e83af     	ldur	x15, [x29, #-0x18]
   23c60: f2cbec9e     	movk	x30, #0x5f64, lsl #32
   23c64: f2fa60be     	movk	x30, #0xd305, lsl #48
   23c68: eb1e011f     	cmp	x8, x30
   23c6c: 54ffe8c0     	b.eq	0x23984 <.text+0x1b914>
   23c70: d288aa7e     	mov	x30, #0x4553            // =17747
   23c74: aa1a03e9     	mov	x9, x26
   23c78: f2a4625e     	movk	x30, #0x2312, lsl #16
   23c7c: aa1603ea     	mov	x10, x22
   23c80: aa1803eb     	mov	x11, x24
   23c84: 2a1503ec     	mov	w12, w21
   23c88: aa1703ed     	mov	x13, x23
   23c8c: aa1903ee     	mov	x14, x25
   23c90: f85e03af     	ldur	x15, [x29, #-0x20]
   23c94: f2dafe5e     	movk	x30, #0xd7f2, lsl #32
   23c98: f2fdce9e     	movk	x30, #0xee74, lsl #48
   23c9c: eb1e011f     	cmp	x8, x30
   23ca0: 54ffe720     	b.eq	0x23984 <.text+0x1b914>
   23ca4: d292a009     	mov	x9, #0x9500             // =38144
   23ca8: f2b662c9     	movk	x9, #0xb316, lsl #16
   23cac: f2d9d5a9     	movk	x9, #0xcead, lsl #32
   23cb0: f2fe2c69     	movk	x9, #0xf163, lsl #48
   23cb4: eb09011f     	cmp	x8, x9
   23cb8: 540028c0     	b.eq	0x241d0 <.text+0x1c160>
   23cbc: eb07011f     	cmp	x8, x7
   23cc0: 54002a40     	b.eq	0x24208 <.text+0x1c198>
   23cc4: d29ad57e     	mov	x30, #0xd6ab            // =54955
   23cc8: aa1a03e9     	mov	x9, x26
   23ccc: f2bf74be     	movk	x30, #0xfba5, lsl #16
   23cd0: aa1603ea     	mov	x10, x22
   23cd4: aa1803eb     	mov	x11, x24
   23cd8: 2a1503ec     	mov	w12, w21
   23cdc: aa1703ed     	mov	x13, x23
   23ce0: aa1903ee     	mov	x14, x25
   23ce4: f85d83af     	ldur	x15, [x29, #-0x28]
   23ce8: f2d0885e     	movk	x30, #0x8442, lsl #32
   23cec: f2ff815e     	movk	x30, #0xfc0a, lsl #48
   23cf0: eb1e011f     	cmp	x8, x30
   23cf4: 54ffe480     	b.eq	0x23984 <.text+0x1b914>
   23cf8: d28a58e9     	mov	x9, #0x52c7             // =21191
   23cfc: f2ae9a69     	movk	x9, #0x74d3, lsl #16
   23d00: f2d74ca9     	movk	x9, #0xba65, lsl #32
   23d04: f2ff9de9     	movk	x9, #0xfcef, lsl #48
   23d08: eb09011f     	cmp	x8, x9
   23d0c: 54002880     	b.eq	0x2421c <.text+0x1c1ac>
   23d10: d29da009     	mov	x9, #0xed00             // =60672
   23d14: f2ae5929     	movk	x9, #0x72c9, lsl #16
   23d18: f2c43829     	movk	x9, #0x21c1, lsl #32
   23d1c: f2e039e9     	movk	x9, #0x1cf, lsl #48
   23d20: eb09011f     	cmp	x8, x9
   23d24: 54002860     	b.eq	0x24230 <.text+0x1c1c0>
   23d28: d2977029     	mov	x9, #0xbb81             // =48001
   23d2c: f2ba5b29     	movk	x9, #0xd2d9, lsl #16
   23d30: f2d0fc29     	movk	x9, #0x87e1, lsl #32
   23d34: f2e0a9a9     	movk	x9, #0x54d, lsl #48
   23d38: eb09011f     	cmp	x8, x9
   23d3c: 54002900     	b.eq	0x2425c <.text+0x1c1ec>
   23d40: eb11011f     	cmp	x8, x17
   23d44: 540017a0     	b.eq	0x24038 <.text+0x1bfc8>
   23d48: d286375e     	mov	x30, #0x31ba            // =12730
   23d4c: aa1a03e9     	mov	x9, x26
   23d50: f2bfcd1e     	movk	x30, #0xfe68, lsl #16
   23d54: aa1603ea     	mov	x10, x22
   23d58: aa1803eb     	mov	x11, x24
   23d5c: 2a1503ec     	mov	w12, w21
   23d60: aa1703ed     	mov	x13, x23
   23d64: aa1903ee     	mov	x14, x25
   23d68: f85d03af     	ldur	x15, [x29, #-0x30]
   23d6c: f2cf0dde     	movk	x30, #0x786e, lsl #32
   23d70: f2e205be     	movk	x30, #0x102d, lsl #48
   23d74: eb1e011f     	cmp	x8, x30
   23d78: 54ffe060     	b.eq	0x23984 <.text+0x1b914>
   23d7c: d28839fe     	mov	x30, #0x41cf            // =16847
   23d80: aa1a03e9     	mov	x9, x26
   23d84: f2a9901e     	movk	x30, #0x4c80, lsl #16
   23d88: aa1603ea     	mov	x10, x22
   23d8c: aa1803eb     	mov	x11, x24
   23d90: 2a1503ec     	mov	w12, w21
   23d94: aa1703ed     	mov	x13, x23
   23d98: aa1903ee     	mov	x14, x25
   23d9c: f85c83af     	ldur	x15, [x29, #-0x38]
   23da0: f2df265e     	movk	x30, #0xf932, lsl #32
   23da4: f2e24fde     	movk	x30, #0x127e, lsl #48
   23da8: eb1e011f     	cmp	x8, x30
   23dac: 54ffdec0     	b.eq	0x23984 <.text+0x1b914>
   23db0: d2829369     	mov	x9, #0x149b             // =5275
   23db4: f2b21ea9     	movk	x9, #0x90f5, lsl #16
   23db8: f2d9bb69     	movk	x9, #0xcddb, lsl #32
   23dbc: f2e4fa49     	movk	x9, #0x27d2, lsl #48
   23dc0: eb09011f     	cmp	x8, x9
   23dc4: 54002560     	b.eq	0x24270 <.text+0x1c200>
   23dc8: d2841b9e     	mov	x30, #0x20dc            // =8412
   23dcc: aa1a03e9     	mov	x9, x26
   23dd0: f2a2c7be     	movk	x30, #0x163d, lsl #16
   23dd4: aa1603ea     	mov	x10, x22
   23dd8: aa1803eb     	mov	x11, x24
   23ddc: 2a1503ec     	mov	w12, w21
   23de0: aa1703ed     	mov	x13, x23
   23de4: aa1903ee     	mov	x14, x25
   23de8: aa1b03ef     	mov	x15, x27
   23dec: f2de197e     	movk	x30, #0xf0cb, lsl #32
   23df0: f2e54dbe     	movk	x30, #0x2a6d, lsl #48
   23df4: eb1e011f     	cmp	x8, x30
   23df8: 54ffdc60     	b.eq	0x23984 <.text+0x1b914>
   23dfc: d29697ef     	mov	x15, #0xb4bf            // =46271
   23e00: d292211e     	mov	x30, #0x9108            // =37128
   23e04: f2ab44cf     	movk	x15, #0x5a26, lsl #16
   23e08: f2adf07e     	movk	x30, #0x6f83, lsl #16
   23e0c: f2c7f00f     	movk	x15, #0x3f80, lsl #32
   23e10: aa1a03e9     	mov	x9, x26
   23e14: aa1603ea     	mov	x10, x22
   23e18: aa1803eb     	mov	x11, x24
   23e1c: 2a1503ec     	mov	w12, w21
   23e20: aa1703ed     	mov	x13, x23
   23e24: aa1903ee     	mov	x14, x25
   23e28: f2f7f06f     	movk	x15, #0xbf83, lsl #48
   23e2c: f2de095e     	movk	x30, #0xf04a, lsl #32
   23e30: f2e5c5fe     	movk	x30, #0x2e2f, lsl #48
   23e34: eb1e011f     	cmp	x8, x30
   23e38: 54ffda60     	b.eq	0x23984 <.text+0x1b914>
   23e3c: d29f8d09     	mov	x9, #0xfc68             // =64616
   23e40: f2b41849     	movk	x9, #0xa0c2, lsl #16
   23e44: f2c49529     	movk	x9, #0x24a9, lsl #32
   23e48: f2e5cd29     	movk	x9, #0x2e69, lsl #48
   23e4c: eb09011f     	cmp	x8, x9
   23e50: 540010a0     	b.eq	0x24064 <.text+0x1bff4>
   23e54: d280456f     	mov	x15, #0x22b             // =555
   23e58: d288405e     	mov	x30, #0x4202            // =16898
   23e5c: f2a5e80f     	movk	x15, #0x2f40, lsl #16
   23e60: f2b9f95e     	movk	x30, #0xcfca, lsl #16
   23e64: f2d8f9ef     	movk	x15, #0xc7cf, lsl #32
   23e68: aa1a03e9     	mov	x9, x26
   23e6c: aa1303ea     	mov	x10, x19
   23e70: aa1403eb     	mov	x11, x20
   23e74: 2a1503ec     	mov	w12, w21
   23e78: aa1703ed     	mov	x13, x23
   23e7c: aa1903ee     	mov	x14, x25
   23e80: f2e8312f     	movk	x15, #0x4189, lsl #48
   23e84: f2ca373e     	movk	x30, #0x51b9, lsl #32
   23e88: f2e6675e     	movk	x30, #0x333a, lsl #48
   23e8c: eb1e011f     	cmp	x8, x30
   23e90: 54ffd7a0     	b.eq	0x23984 <.text+0x1b914>
   23e94: d2804569     	mov	x9, #0x22b              // =555
   23e98: f2a5e809     	movk	x9, #0x2f40, lsl #16
   23e9c: f2d8f9e9     	movk	x9, #0xc7cf, lsl #32
   23ea0: f2e83129     	movk	x9, #0x4189, lsl #48
   23ea4: eb09011f     	cmp	x8, x9
   23ea8: 54002100     	b.eq	0x242c8 <.text+0x1c258>
   23eac: d293e409     	mov	x9, #0x9f20             // =40736
