index,start,end,size,name,status,reachable,callers,callees,evidence
68,0x24860,0x25068,0x808,VirtualBox DMI file-content probe,recovered,yes,1,2,"cross-ABI XOR-once product_name/VirtualBox and sys_vendor/innotek pairs, two exact 0x100 records with kind-3 substring and descriptorCount one, recordCount two forwarding to recovered 0x23274, shared incoming uint16 accumulation and flattened caller count flow recovered in direct C++"
69,0x25068,0x26de0,0x1d78,sub_25068,unknown,yes,1,2,not yet assigned semantic role
70,0x26de0,0x2c618,0x5838,sub_26de0,unknown,yes,1,2,not yet assigned semantic role
71,0x2c618,0x2cc9c,0x684,Raspberry manufacturer system-property probe,recovered,yes,1,2,"cross-ABI XOR-once ro.product.manufacturer, ro.product.vendor.manufacturer and raspberry strings; two kind-3 descriptor records forwarded to 0x24444 with fixed count 2, zeroed uint16 match count and count!=0 boolean return; caller correction 0x28 recovered in direct C++"
72,0x2cc9c,0x2e1d4,0x1538,minical/vcloud/Scorpio system-property probe,recovered,yes,1,2,"cross-ABI XOR-once manufacturer/vendor/model/display property strings and minical/vcloud/Scorpio_rt OS markers; five kind-3 descriptor records forwarded to 0x24444 with fixed count 5, zeroed uint16 match count and count!=0 boolean return; caller correction 0x2c recovered in direct C++"
73,0x2e1d4,0x34820,0x664c,sub_2e1d4,unknown,yes,1,2,not yet assigned semantic role
74,0x34820,0x34954,0x134,packed low-24 transition predicate,recovered,yes,1,0,"low 24 bits must match, second high byte must equal 1 and first high byte must differ from 1; recovered cross-ABI from ARM64 0x34820 and x86_64 0x32955 with direct C++ and truth-table regression"
75,0x34954,0x34bf4,0x2a0,detector record cross-match counter,recovered,yes,1,0,nested pointer-array scan counts matching +0x10 keys only when first-array record +0x28 equals 1 and +0x08 equals 0x0100007f; duplicate multiplicity and uint16 wrap recovered cross-ABI in direct C++
76,0x34bf4,0x34f9c,0x3a8,detector packed-transition cross-match counter,recovered,yes,1,1,"nested +0x10 key match, first-record +0x28==1 gate and low-32 +0x08/+0x18 forwarding to recovered 0x34820; duplicate multiplicity and uint16 wrap recovered cross-ABI in direct C++"
77,0x34f9c,0x352d4,0x338,detector record pointer filter,recovered,yes,2,0,"calloc(count,8), ordered +0x08/+0x18/+0x20 non-null and +0x28==10 selection, allocation status 2, success publication and input-order preservation implemented and regression-tested in C++"
78,0x352d4,0x36bfc,0x1928,three-field build-identity predicate,recovered,yes,2,2,"ordered scratch+0x10/+0x18/+0x20 checks against android, Android-SDK-build and generic-x86 marker pairs through 0x36bfc, null skipping and first-match short circuit recovered in direct C++"
79,0x36bfc,0x37340,0x744,two-marker ASCII case-insensitive range equality helper,recovered,yes,1,0,"zero-length/null-table rejection, exact caller-supplied byte-range comparison against two marker strings, ASCII A-Z folding, first-match return and range-length boundary recovered with static instruction interpretation"
80,0x37340,0x40c70,0x9930,sub_37340,unknown,no,0,4,not yet assigned semantic role
81,0x40c70,0x40fec,0x37c,generic substring detector and correction 0x0b,recovered,yes,1,2,"scratch+0x30, once-decoded generic marker, case-sensitive substring predicate, 0.3 score update and append-at-count correction 0x0b recovered in direct C++"
82,0x40fec,0x40ffc,0x10,detector context flag-mask 0x0000000000000800,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
83,0x40ffc,0x418d8,0x8dc,google_sdk substring detector and correction 0x0d,recovered,yes,1,1,"scratch+0x18, once-decoded google_sdk marker, overlapping ASCII case-insensitive substring scan, restart-at-next-start behavior, score-to-1 and append-at-count correction 0x0d recovered in direct C++"
84,0x418d8,0x418e8,0x10,detector context flag-mask 0x0000000000002000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
85,0x418e8,0x421cc,0x8e4,emulator substring detector and correction 0x0e,recovered,yes,1,1,"scratch+0x18, once-decoded emulator marker, overlapping ASCII case-insensitive substring scan, restart-at-next-start behavior, score-to-1 and append-at-count correction 0x0e recovered in direct C++"
86,0x421cc,0x421dc,0x10,detector context flag-mask 0x0000000000004000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
87,0x421dc,0x42eb0,0xcd4,four-build-marker descriptor detector and correction 0x0f,recovered,yes,1,2,"scratch+0x18, four decoded android-sdk-built-for markers, zero-kind descriptor array, 0x42eb0 any-match, fixed kind-zero 0x23730 full-string ASCII-CI equality route, score-to-1 and correction 0x0f recovered in direct C++"
88,0x42eb0,0x430f4,0x244,paired descriptor any-match wrapper,recovered,yes,2,1,"pointer-array null gate, paired pointer/uint32 indexed forwarding to 0x23730, first-true short circuit and exhausted false return recovered with callback regression"
89,0x430f4,0x43104,0x10,detector context flag-mask 0x0000000000008000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
90,0x43104,0x43998,0x894,goldfish substring detector and correction 0x10,recovered,yes,1,1,"scratch+0x40, once-decoded goldfish marker, overlapping ASCII case-insensitive substring scan, score-to-1 and append-at-count correction 0x10 recovered in direct C++"
91,0x43998,0x439a8,0x10,detector context flag-mask 0x0000000000010000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
92,0x439a8,0x442dc,0x934,vbox86 field-40 substring detector and correction 0x11,recovered,yes,1,1,"scratch+0x40, once-decoded vbox86 marker, overlapping ASCII case-insensitive substring scan, score-to-1 and append-at-count correction 0x11 recovered in direct C++"
93,0x442dc,0x442ec,0x10,detector context flag-mask 0x0000000000020000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
94,0x442ec,0x44c28,0x93c,vbox86 field-20 substring detector and correction 0x12,recovered,yes,1,1,"scratch+0x20, shared once-decoded vbox86 marker, overlapping ASCII case-insensitive substring scan, score-to-1 and append-at-count correction 0x12 recovered in direct C++"
95,0x44c28,0x44c38,0x10,detector context flag-mask 0x0000000000040000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
96,0x44c38,0x44da0,0x168,detector predicate wrapper and correction 0x13,recovered,yes,1,1,"null input gate, one 0x352d4 predicate call, false no-op and true score-to-1 plus append-at-count correction 0x13 recovered with direct callback regression"
97,0x44da0,0x44db0,0x10,detector context flag-mask 0x0000000000080000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
98,0x44db0,0x456a8,0x8f8,android_x86 substring detector and correction 0x14,recovered,yes,1,1,"scratch+0x40, once-decoded android_x86 marker, overlapping ASCII case-insensitive substring scan, score-to-1 and append-at-count correction 0x14 recovered in direct C++"
99,0x456a8,0x456b8,0x10,detector context flag-mask 0x0000000000100000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
100,0x456b8,0x47778,0x20c0,fingerprint descriptor detector and correction 0x15,recovered,yes,1,2,"scratch+0x00, eleven XOR-decoded markers with exact kind tags 0/1/3, 0x42eb0 any-match, recovered 0x23730 routes, native score-count-correction store order and correction 0x15 recovered in direct C++"
101,0x47778,0x47788,0x10,detector context flag-mask 0x0000000000200000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
102,0x47788,0x47f84,0x7fc,generic either-field detector and correction 0x16,recovered,yes,1,2,"ordered scratch+0x10 then +0x20 case-sensitive generic substring checks, first-match short circuit, shared once-decoded marker, score-to-1 and correction 0x16 recovered in direct C++"
103,0x47f84,0x47f94,0x10,detector context flag-mask 0x0000000000400000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
104,0x47f94,0x490e0,0x114c,google-phone marker detector and correction 0x17,recovered,yes,1,2,"scratch+0x30, inlined overlapping ASCII-CI sdk_google_phone_arm search followed by two ordered kind-one ASCII-CI prefix checks, native count-correction-score store order and correction 0x17 recovered in direct C++"
105,0x490e0,0x490f0,0x10,detector context flag-mask 0x0000000000800000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
106,0x490f0,0x4afd4,0x1ee4,three-field iTools equality detector and correction 0x18,recovered,yes,1,1,"scratch+0x08/+0x18/+0x20 ordered full-string ASCII-CI equality against XOR-decoded itools marker, prefix/suffix rejection, native count-correction-score store order and correction 0x18 recovered in direct C++"
107,0x4afd4,0x4afe4,0x10,detector context flag-mask 0x0000000001000000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
108,0x4afe4,0x4afe8,0x4,detector no-op return leaf A,recovered,no,0,0,standalone four-byte FDE contains only RET and is represented by the shared C++ no-op leaf
109,0x4afe8,0x4afec,0x4,detector no-op return leaf B,recovered,no,0,0,standalone four-byte FDE contains only RET and is represented by the shared C++ no-op leaf
110,0x4afec,0x4aff0,0x4,detector no-op return leaf C,recovered,no,0,0,standalone four-byte FDE contains only RET and is represented by the shared C++ no-op leaf
111,0x4aff0,0x4b000,0x10,detector context flag-mask 0x0000000020000000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
112,0x4b000,0x4b010,0x10,detector context flag-mask 0x0000000004000000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
113,0x4b010,0x4b020,0x10,detector context flag-mask 0x0000000008000000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
114,0x4b020,0x4d9ac,0x298c,two-field Apple/iPhone substring detector and correction 0x1c,recovered,yes,1,1,"scratch+0x10 then +0x20, ordered overlapping ASCII-CI substring scans for XOR-decoded apple/iphone markers, null skipping and first-match short circuit, native count-score-correction store order and correction 0x1c recovered in direct C++"
115,0x4d9ac,0x4d9bc,0x10,detector context flag-mask 0x0000000010000000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
116,0x4d9bc,0x58498,0xaadc,GreatFruit/Google sensor-pair predicate,recovered,yes,1,2,"eight exact ordered sensor/vendor pairs forwarded to recovered 0x58498 with count 8; raw marker decoding, table order and unchanged helper boolean return proven by static wrapper interpretation"
117,0x58498,0x59658,0x11c0,ordered detector string-pair array equality,recovered,yes,8,0,"non-null scratch/table, exact pair-count equality, ordered scratch+0x70/+0x78 pairs, non-null elements and full-string ASCII-CI equality recovered with static instruction interpretation and direct C++"
118,0x59658,0x5a8e0,0x1288,microvirt dynamic-pair substring predicate,recovered,yes,1,1,iterates 16-byte scratch+0x70/+0x78 pairs up to count at +0x870; both strings in one slot must contain XOR-0x1d microvirt under overlapping ASCII-CI matching; null/nonmatching slots skip and first complete pair succeeds
119,0x5a8e0,0x5c6d8,0x1df8,Tiantian sensor-pair predicate,recovered,yes,1,2,TiantianVM Accelerometer/TianTian exact pair forwarded to recovered 0x58498 with count 1 and unchanged boolean return
120,0x5c6d8,0x5f900,0x3228,seven physical sensor-pair predicate,recovered,yes,1,2,seven exact Invensense/AOSP/STMicroelectronics/AKM/Qualcomm sensor pairs forwarded to recovered 0x58498; table order/count 7 and unchanged boolean return proven statically
121,0x5f900,0x615d8,0x1cd8,Goldfish three-sensor predicate,recovered,yes,1,2,three Goldfish accelerometer/gyroscope/orientation pairs with Android Open Source Project vendor forwarded to recovered 0x58498 count 3
122,0x615d8,0x6a4e0,0x8f08,MPU/Orientaion two-sensor predicate,recovered,yes,1,2,MPU6515 Accelerometer/InvenSense and native-typo Orientaion/Qualcomm pairs forwarded to recovered 0x58498 count 2
123,0x6a4e0,0x6c590,0x20b0,Goldfish two-sensor subset predicate,recovered,yes,1,2,Goldfish accelerometer and orientation pairs with Android Open Source Project vendor forwarded to recovered 0x58498 count 2
124,0x6c590,0x6dbbc,0x162c,Genymotion sensor-pair predicate,recovered,yes,1,2,"one expected pair Genymotion Accelerometer/Genymobile, raw XOR marker decoding and exact ordered pair-array match through recovered 0x58498 implemented in direct C++"
125,0x6dbbc,0x6f758,0x1b9c,leapdroid substring predicate,recovered,yes,1,1,"scratch+0x58 pointer, XOR-0xb7 leapdroid marker, overlapping ASCII case-insensitive substring behavior, null/empty rejection and prefix/suffix containment recovered with static instruction interpretation and direct C++"
126,0x6f758,0x76f2c,0x77d4,open-source two-sensor predicate,recovered,yes,1,2,Acceleration sensor/Acceleration Sensor Open Source Project and Compass Magnetic field sensor/Compass Sensor Open Source Project pairs forwarded to recovered 0x58498 count 2
127,0x76f2c,0x77f7c,0x1050,haima substring predicate,recovered,yes,1,1,"scratch+0x20, XOR-0x80 haima marker, overlapping ASCII case-insensitive substring behavior, null/empty rejection and prefix/suffix containment recovered with static instruction interpretation and direct C++"
128,0x77f7c,0x78f68,0xfec,vmos substring predicate,recovered,yes,1,1,"scratch+0x08, XOR-0x5b vmos marker, overlapping ASCII case-insensitive substring behavior, null/empty rejection and prefix/suffix containment recovered with static instruction interpretation and direct C++"
129,0x78f68,0x7ba5c,0x2af4,paired device/build substring predicate,recovered,yes,1,1,"scratch+0x20 must contain HWEVA, eva-al00 or zerofltezc and scratch+0x30 must contain :6.0.1/RB3N5C; all markers are XOR-decoded overlapping ASCII-CI substrings and both field conditions are required"
130,0x7ba5c,0x7bb98,0x13c,14-stage detector fanout,recovered,yes,1,14,"four arguments forwarded unchanged to fixed ARM64 stage order, all callee returns ignored and wrapper always returns zero; x86_64 pattern confirms ABI-specific 17-stage variant"
131,0x7bb98,0x7bbb0,0x18,context flag-mask 0x3dffe800,recovered,yes,1,0,zero-extended 32-bit mask load/OR/store recovered in C++
132,0x7bbb0,0x868b4,0xad04,eight fixed-string detector marker matcher,recovered,yes,1,0,"scratch offsets 00/08/10/18/20/30/38/50, eight marker loops, full-string ASCII A-Z folding, null skipping and any-match return recovered in direct C++"
133,0x868b4,0x87158,0x8a4,ASCII case-insensitive detector marker matcher,recovered,yes,1,0,"scratch+0x70 16-byte string slots and +0x870 count, null skipping, full-string ASCII A-Z folding, prefix rejection and first-match return recovered cross-ABI in C++"
134,0x87158,0x8746c,0x314,display-dimension unordered-pair predicate,recovered,yes,1,0,"scratch displayWidth +0x60 and displayHeight +0x64 matched in either orientation against eight cross-ABI identical fixed pairs; field roles dynamically corroborated with 1440x3120 profile, first-match true and exhausted false recovered in direct C++"
135,0x8746c,0x8f56c,0x8100,detector property/sensor/display scratch producer,recovered,yes,1,14,"thirteen property reads and mallocs with delayed publication/status 2; service failure normalized to 0x24, width/height failure to 0x1d and other helper statuses preserved; signed sensor loop, last-only JNI cleanup, post-appender increment, display flow and sole-caller 0x8fb44 partial-ownership envelope recovered cross-ABI in C++ with isolated traces"
136,0x8f56c,0x8fb44,0x5d8,detector scratch owned string-pair appender,recovered,yes,1,0,"count >=127 returns 0x26; otherwise performs two independent malloc(length+1) and forward byte copies with NUL termination, publishes first/second pointers at +0x70+count*0x10 and increments +0x870 only after both succeed, or unconditionally frees first then second and returns 2; recovered cross-ABI in C++"
